Trace Name,Result Code,Fixpoint (ms),Termination (ms),Nontermination (ms),ULR-Baseline (ms),P-ULR-Par4,PaSTTeL Status,Stem Size,Loop Size,Total Size Trace,Algo
ATVA2026_benchmark/REAL_VARS//lasso_traces_2013POPL-BenAmGen-Ex3.20-Real.bpl/lasso_trace_1.txt,NONTERMINATING,3.69,0,0,3.69,1,NONTERMINATING,0,1,1,Fixpoint / Fixpoint
ATVA2026_benchmark/REAL_VARS//lasso_traces_ATVA2013-nonIntegral-real.bpl/lasso_trace_1.txt,NONTERMINATING,3.1,0,0,3.1,1,NONTERMINATING,1,1,2,Fixpoint / Fixpoint
ATVA2026_benchmark/REAL_VARS//lasso_traces_BangaloreStrictIneq.bpl/lasso_trace_1.txt,UNKNOWN,0.44,778.44,27.98,-,-,-,2,1,3,-
ATVA2026_benchmark/REAL_VARS//lasso_traces_bball.bpl/lasso_trace_1.txt,NONTERMINATING,3.49,0,0,3.49,1,NONTERMINATING,1,2,3,Fixpoint / Fixpoint
ATVA2026_benchmark/REAL_VARS//lasso_traces_Braverman-2006CAV-Ex1-real.bpl/lasso_trace_1.txt,UNKNOWN,0.82,903.14,24.87,-,-,-,1,1,2,-
ATVA2026_benchmark/REAL_VARS//lasso_traces_Braverman-2006CAV-Ex2-real.bpl/lasso_trace_1.txt,UNKNOWN,0.72,903.45,28.74,-,-,-,1,1,2,-
ATVA2026_benchmark/REAL_VARS//lasso_traces_ConjunctiveLassoDifficultNonterminating.bpl/lasso_trace_1.txt,UNKNOWN,0.61,1308.53,26.94,-,-,-,2,1,3,-
ATVA2026_benchmark/REAL_VARS//lasso_traces_ConjunctiveLassoDifficultTerminating.bpl/lasso_trace_1.txt,UNKNOWN,0.78,1317.81,30.65,-,-,-,2,1,3,-
ATVA2026_benchmark/REAL_VARS//lasso_traces_ConjunctiveLoopWithoutNestedRF.bpl/lasso_trace_1.txt,UNKNOWN,0.8,2709.51,28.97,-,-,-,1,1,2,-
ATVA2026_benchmark/REAL_VARS//lasso_traces_CrazySpirals.bpl/lasso_trace_1.txt,UNKNOWN,1.3,8555.11,32.83,-,-,-,1,1,2,-
ATVA2026_benchmark/REAL_VARS//lasso_traces_DoyenHenzingerRaskin-Fig1.bpl/lasso_trace_1.txt,NONTERMINATING,2.88,0,0,2.88,2,NONTERMINATING,4,3,7,Fixpoint / Fixpoint
ATVA2026_benchmark/REAL_VARS//lasso_traces_Edmonton.bpl/lasso_trace_1.txt,UNKNOWN,0.63,1549.54,30.07,-,-,-,1,1,2,-
ATVA2026_benchmark/REAL_VARS//lasso_traces_ex01.bpl/lasso_trace_1.txt,NONTERMINATING,2.73,0,0,2.73,1,NONTERMINATING,1,1,2,Fixpoint / Fixpoint
ATVA2026_benchmark/REAL_VARS//lasso_traces_FourStateCircle.bpl/lasso_trace_1.txt,NONTERMINATING,2.74,0,0,2.74,2,NONTERMINATING,3,2,5,Fixpoint / Fixpoint
ATVA2026_benchmark/REAL_VARS//lasso_traces_GasCake01.bpl/lasso_trace_1.txt,NONTERMINATING,4.52,0,0,4.52,1,NONTERMINATING,1,3,4,Fixpoint / Fixpoint
ATVA2026_benchmark/REAL_VARS//lasso_traces_GasCake01HardcodedInput.bpl/lasso_trace_1.txt,UNKNOWN,0.71,1380.04,26.78,-,-,-,3,2,5,-
ATVA2026_benchmark/REAL_VARS//lasso_traces_GasCakeWithJohoFractions01.bpl/lasso_trace_1.txt,NONTERMINATING,3.55,0,0,3.55,1,NONTERMINATING,1,4,5,Fixpoint / Fixpoint
ATVA2026_benchmark/REAL_VARS//lasso_traces_GasCakeWithJohoFractions01FixedInput.bpl/lasso_trace_1.txt,UNKNOWN,0.51,911.36,25.81,-,-,-,4,3,7,-
ATVA2026_benchmark/REAL_VARS//lasso_traces_GasCakeWithJohoFractions01HardcodedInput.bpl/lasso_trace_1.txt,UNKNOWN,0.73,926.18,27.36,-,-,-,3,2,5,-
ATVA2026_benchmark/REAL_VARS//lasso_traces_GeometricalCake.bpl/lasso_trace_1.txt,UNKNOWN,0.66,850.8,27.32,-,-,-,2,1,3,-
ATVA2026_benchmark/REAL_VARS//lasso_traces_growfall.bpl/lasso_trace_1.txt,NONTERMINATING,2.74,0,0,2.74,1,NONTERMINATING,1,2,3,Fixpoint / Fixpoint
